AB10 1AG,ABERDEEN,,,Broad Street,, ,Marischal College,,,Education Department,Aberdeen City Council,2,L, ,1A
AB10 1AH,ABERDEEN,,,Broad Street,, ,Marischal College,,,Finance Department,Aberdeen City Council,3,L, ,1A
AB10 1AL,ABERDEEN,,,Shoe Lane,, ,,,,,Marshall Museum,6,S,Y,1A
AB10 1AL,ABERDEEN,,,Shoe Lane,,12,,,,,Aberdeen Childcare Services,53249299,S,Y,1D
AB10 1AN,ABERDEEN,,,Queen Street,, ,North Church Of St. Andrew,Caretakers House,,,,7,S, ,1B
AB10 1AN,ABERDEEN,,,Queen Street,,79,,,,,,9,S, ,1D
AB10 1AN,ABERDEEN,,,Queen Street,, ,North Church Of St. Andrew,,,,Church Of Scotland,8,S,Y,1A
AB10 1AN,ABERDEEN,,,Queen Street,, ,The Anatomy Rooms,,,,,54052159,S, ,1F
AB10 1AP,ABERDEEN,,,Queen Street,, ,29-31,,,,McKays Of Queen Street,12,S,Y,1D
AB10 1AP,ABERDEEN,,,Queen Street,, ,Greyfriars John Knox Church,,,,Church Of Scotland,11,S,Y,1A
AB10 1AQ,ABERDEEN,,,Broad Street,, ,Marischal College,,,Office Of The City Solicitor,Aberdeen City Council,13,L, ,1A
AB10 1AR,ABERDEEN,,,Broad Street,, ,Marischal College,,,Publicity & Promotions Division,Aberdeen City Council,14,L, ,1A
AB10 1AS,ABERDEEN,,,Guestrow,, ,Provost Skene House,,,,,15,S, ,1A
AB10 1AU,ABERDEEN,,,Netherkirkgate,,16,,Flat 1,,,,18,S, ,1N
AB10 1AU,ABERDEEN,,,Netherkirkgate,,16,,Flat 2,,,,25,S, ,1P
AB10 1AU,ABERDEEN,,,Netherkirkgate,,22,,,,,Illicit Still Bar,35,S,Y,1L
AB10 1AU,ABERDEEN,,,Netherkirkgate,,16,,Flat 3,,,,26,S, ,1T